2.4 Ensure unused symbolic links are removed: [ERROR],1
2.4 Ensure unused symbolic links are removed: [FAILED],142
2.4 Ensure unused symbolic links are removed: [PASSED],22
3.7 Ensure no files or directories without an owner and a group exist: [ERROR],1
3.7 Ensure no files or directories without an owner and a group exist: [FAILED],161
3.7 Ensure no files or directories without an owner and a group exist: [PASSED],2
4.1.1.1 Ensure access on /smit.log is configured: [FAILED],115
4.1.1.1 Ensure access on /smit.log is configured: [PASSED],49
4.1.1.11 Ensure access on /var/adm/cron/cron.allow is configured: [FAILED],4
4.1.1.11 Ensure access on /var/adm/cron/cron.allow is configured: [PASSED],160
4.1.1.13 Ensure access on /var/ct/RMstart.log is configured: [FAILED],9
4.1.1.13 Ensure access on /var/ct/RMstart.log is configured: [PASSED],155
4.1.1.14 Ensure access on /var/tmp/dpid2.log is configured: [FAILED],71
4.1.1.14 Ensure access on /var/tmp/dpid2.log is configured: [PASSED],93
4.1.1.15 Ensure access on /var/tmp/hostmibd.log is configured: [FAILED],132
4.1.1.15 Ensure access on /var/tmp/hostmibd.log is configured: [PASSED],32
4.1.1.16 Ensure access on /var/tmp/snmpd.log is configured: [FAILED],60
4.1.1.16 Ensure access on /var/tmp/snmpd.log is configured: [PASSED],104
4.1.1.17 Ensure crontab is restricted to authorized users: [ERROR],1
4.1.1.17 Ensure crontab is restricted to authorized users: [FAILED],1
4.1.1.17 Ensure crontab is restricted to authorized users: [PASSED],162
4.1.1.2 Ensure access on /etc/group is configured: [FAILED],13
4.1.1.2 Ensure access on /etc/group is configured: [PASSED],151
4.1.1.3 Ensure access on /etc/inetd.conf is configured: [FAILED],136
4.1.1.3 Ensure access on /etc/inetd.conf is configured: [PASSED],28
4.1.1.4 Ensure access on /etc/motd is configured: [FAILED],21
4.1.1.4 Ensure access on /etc/motd is configured: [PASSED],143
4.1.1.5 Ensure access on /etc/passwd is configured: [FAILED],3
4.1.1.5 Ensure access on /etc/passwd is configured: [PASSED],161
4.1.1.6 Ensure /etc/mail/submit.cf access is configured: [FAILED],151
4.1.1.6 Ensure /etc/mail/submit.cf access is configured: [PASSED],13
4.1.1.7 Ensure access to /etc/ssh/ssh_banner is configured: [FAILED],2
4.1.1.7 Ensure access to /etc/ssh/ssh_banner is configured: [PASSED],162
4.1.1.8 Ensure access on /etc/ssh/ssh_config is configured: [FAILED],3
4.1.1.8 Ensure access on /etc/ssh/ssh_config is configured: [PASSED],161
4.1.1.9 Ensure access on /etc/ssh/sshd_config is configured: [FAILED],3
4.1.1.9 Ensure access on /etc/ssh/sshd_config is configured: [PASSED],161
4.1.2.1 Ensure local user Home directories exists: [ERROR],1
4.1.2.1 Ensure local user Home directories exists: [FAILED],68
4.1.2.1 Ensure local user Home directories exists: [PASSED],95
4.1.2.10 Ensure root user has a dedicated home directory: [ERROR],1
4.1.2.10 Ensure root user has a dedicated home directory: [FAILED],144
4.1.2.10 Ensure root user has a dedicated home directory: [PASSED],19
4.1.2.2 Ensure Home directories access is configured: [ERROR],1
4.1.2.2 Ensure Home directories access is configured: [FAILED],128
4.1.2.2 Ensure Home directories access is configured: [PASSED],35
4.1.2.3 Ensure Home directory write access is restricted to owner: [ERROR],1
4.1.2.3 Ensure Home directory write access is restricted to owner: [FAILED],80
4.1.2.3 Ensure Home directory write access is restricted to owner: [PASSED],83
4.1.2.4 Ensure access on /audit and /etc/security/audit is configured: [FAILED],30
4.1.2.4 Ensure access on /audit and /etc/security/audit is configured: [PASSED],134
4.1.2.5 Ensure access to /etc/security is configured: [ERROR],1
4.1.2.5 Ensure access to /etc/security is configured: [FAILED],163
4.1.2.6 Ensure access on /var/adm/ras is configured: [ERROR],1
4.1.2.6 Ensure access on /var/adm/ras is configured: [FAILED],139
4.1.2.6 Ensure access on /var/adm/ras is configured: [PASSED],24
4.1.2.7 Ensure access on /var/adm/sa is configured: [FAILED],139
4.1.2.7 Ensure access on /var/adm/sa is configured: [PASSED],25
4.1.2.8 Ensure access on /var/spool/cron/crontabs is configured: [FAILED],137
4.1.2.8 Ensure access on /var/spool/cron/crontabs is configured: [PASSED],27
4.2.2 Ensure NIS client is not installed: [ERROR],1
4.2.2 Ensure NIS client is not installed: [FAILED],135
